SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H,52W L,30 D   %CHNG,365 D % CHNG 06-Dec-2023
TVSMOTOR,"2,519.90","2,537.90","2,505.25","2,512.20","2,521.00",-,8.8,0.35,"3,28,425",82.86,"2,958.00","1,871.75",2.19,33.01
AUROPHARMA,"1,250.10","1,254.85","1,237.50","1,243.65","1,248.00",-,4.35,0.35,"5,72,093",71.32,"1,592.00",958.5,-10.97,22.33
MUTHOOTFIN,"1,932.95","1,965.40","1,930.10","1,937.55","1,944.20",-,6.65,0.34,"4,37,620",85.59,"2,078.75","1,261.90",1.26,35.28
TATAELXSI,"7,385.55","7,429.00","7,324.45","7,367.75","7,389.15",-,21.4,0.29,"1,69,740",125.32,"9,200.00","6,286.00",4.78,-12.85
LICHSGFIN,639.9,648.9,634.55,638.7,640.5,-,1.8,0.28,"10,71,453",68.89,826.75,498.7,1.04,26.44
MAZDOCK,"4,870.05","5,010.90","4,835.45","4,861.55","4,875.00",-,13.45,0.28,"27,85,303","1,372.12","5,860.00","1,795.40",15.81,129.9
POWERGRID,327.1,332.75,326.7,328.35,329.25,-,0.9,0.27,"88,02,058",290.55,366.25,222.5,3.71,46.32
OIL,476.6,477.8,473.3,473.75,474.65,-,0.9,0.19,"19,82,279",94.29,767.9,205.8,-4.41,48.09
PRESTIGE,"1,747.90","1,756.65","1,725.10","1,734.00","1,737.05",-,3.05,0.18,"3,13,886",54.63,"2,074.80",967.3,8.4,61.72
MRPL,154.3,157.26,154.19,154.74,155,-,0.26,0.17,"17,78,585",27.64,289.25,118.8,-5.55,23.4
MAXHEALTH,"1,098.55","1,101.80","1,082.00","1,096.90","1,098.70",-,1.8,0.16,"11,00,362",120.35,"1,118.00",630.9,5.01,67.13
NTPC,369.45,371.2,368.05,369.15,369.75,-,0.6,0.16,"97,36,086",360.12,448.45,278.95,-8.42,31.32
PFC,514.9,523.9,512,512.2,513,-,0.8,0.16,"1,04,42,708",540.15,580,351.7,10.99,35.29
IREDA,220.4,223.47,216.3,220.86,221.18,-,0.32,0.14,"1,19,33,173",262.23,310,61.5,7.86,244.29
TRENT,"7,050.00","7,140.00","6,930.05","6,970.10","6,980.00",-,9.9,0.14,"10,88,961",763.79,"8,345.00","2,800.20",0.03,143.04
LTIM,"6,346.00","6,398.85","6,330.95","6,347.15","6,356.10",-,8.95,0.14,"2,05,466",131.02,"6,574.95","4,513.55",10.97,12.54
LUPIN,"2,134.50","2,141.85","2,120.45","2,125.05","2,128.00",-,2.95,0.14,"6,26,159",133.49,"2,312.00","1,200.15",-2.6,70.89
ICICIPRULI,679,687.3,671.95,674.7,675.55,-,0.85,0.13,"11,83,302",80.13,796.8,463.45,-7.85,22.36
PIIND,"4,145.15","4,145.15","4,096.30","4,135.90","4,140.00",-,4.1,0.1,"1,42,896",58.99,"4,804.05","3,220.00",-8.86,7.09
CUMMINSIND,"3,474.00","3,497.85","3,455.55","3,456.70","3,460.00",-,3.3,0.1,"2,50,689",87.06,"4,171.90","1,835.55",-0.8,76.74
TATATECH,958.7,959.85,949.4,954.3,955,-,0.7,0.07,"7,01,971",66.96,"1,284.80",931,-5.71,-19.71
DABUR,525,525.85,520.25,523.15,523.5,-,0.35,0.07,"16,63,402",87.01,672,489.2,-2.19,-4.89
IGL,387,389.9,382.6,383.45,383.7,-,0.25,0.07,"80,67,105",311.36,570.35,306.1,-8.82,-4.3
LTF,148.41,149.23,146.59,148.41,148.5,-,0.09,0.06,"68,10,891",101.09,194.25,134.1,2.08,-
IOB,57.95,59.75,57.32,57.87,57.9,-,0.03,0.05,"1,92,78,886",112.49,83.75,40.75,6.97,35.69
MRF,"1,30,900.00","1,32,200.00","1,30,416.20","1,30,761.50","1,30,799.00",-,37.5,0.03,"7,588",99.59,"1,51,445.00","1,13,450.75",9.4,14.61
BOSCHLTD,"36,249.95","36,997.35","36,105.40","36,169.50","36,173.70",-,4.2,0.01,"35,941",131.62,"39,088.80","21,331.00",1.56,67.51
HDFCAMC,"4,384.85","4,407.00","4,347.90","4,357.00","4,357.50",-,0.5,0.01,"2,05,227",89.8,"4,864.00","2,962.55",1.47,45.62
KOTAKBANK,"1,773.90","1,785.05","1,761.00","1,775.15","1,775.25",-,0.1,0.01,"25,95,882",460.98,"1,942.00","1,543.85",1.02,-2.54
LODHA,"1,365.00","1,397.40","1,356.75","1,369.70","1,369.70",-,-,-,"11,45,369",157.03,"1,649.95",877.25,17.9,51.89
APOLLOTYRE,540.45,544.65,536.3,540.45,540.4,-,-0.05,-0.01,"10,32,518",55.91,584.9,419.25,12.02,16.87
NESTLEIND,"2,266.45","2,291.95","2,255.10","2,265.50","2,265.00",-,-0.5,-0.02,"6,45,601",146.3,"2,778.00","2,168.70",0.13,-90.93
